air_name,travel_time,num_stop,ticket_price,depart_air,depart_time,1_stop_wait,1_stop,2_stop_wait,2_stop,3_stop_wait,3_stop,dest_air,arrival_time,arrival_date
Emirates,3075,2,1156,DAC,1.6666666666666665,675,DXB,1180,MXP,0,NON,JFK,18.916666666666668,Apr 8
Emirates,3445,2,1156,DAC,19.5,1035,DXB,1180,MXP,0,NON,JFK,18.916666666666668,Apr 9
Turkish,1565,1,1175,DAC,6.583333333333333,380,IST,0,NON,0,NON,EWR,22.666666666666668,Apr 8
Kuwait,1275,1,1264,DAC,3.1666666666666665,130,KWI,0,NON,0,NON,JFK,14.416666666666666,Apr 8
Etihad,1355,1,1283,DAC,20.916666666666668,180,AUH,0,NON,0,NON,JFK,9.5,Apr 8
Turkish,1275,1,1297,DAC,6.583333333333333,110,IST,0,NON,0,NON,JFK,17.833333333333332,Apr 8
Emirates,1635,1,1313,DAC,1.6666666666666665,315,DXB,0,NON,0,NON,JFK,18.916666666666668,Apr 8
Emirates,2150,1,1313,DAC,19.5,740,DXB,0,NON,0,NON,EWR,21.333333333333332,Apr 8
Multiple,1635,1,1376,DAC,5.5,450,DOH,0,NON,0,NON,JFK,22.75,Apr 8
Qatar,1620,1,1431,DAC,5.5,425,DOH,0,NON,0,NON,JFK,22.5,Apr 8
Qatar,2630,1,1435,DAC,5.5,1435,DOH,0,NON,0,NON,JFK,15.333333333333334,Apr 8
Turkish,2325,1,1441,DAC,6.583333333333333,1160,IST,0,NON,0,NON,JFK,11.333333333333334,Apr 8
Emirates,1365,1,1448,DAC,1.6666666666666665,240,DXB,0,NON,0,NON,JFK,14.416666666666666,Apr 8
British,1655,2,1456,DAC,20.25,130,DOH,275,LHR,0,NON,EWR,13.833333333333334,Apr 8
British,1655,2,1456,DAC,20.25,165,DOH,240,LHR,0,NON,EWR,13.833333333333334,Apr 8
British,2055,2,1456,DAC,10.833333333333334,695,DOH,120,LHR,0,NON,JFK,11.083333333333334,Apr 8
British,2055,2,1456,DAC,10.833333333333334,95,DOH,720,LHR,0,NON,JFK,11.083333333333334,Apr 8
British,2145,2,1456,DAC,10.833333333333334,695,DOH,205,LHR,0,NON,JFK,12.583333333333334,Apr 8
British,2145,2,1456,DAC,10.833333333333334,95,DOH,805,LHR,0,NON,JFK,12.583333333333334,Apr 8
British,2200,2,1456,DAC,10.833333333333334,695,DOH,245,LHR,0,NON,JFK,13.5,Apr 8
British,2220,2,1456,DAC,10.833333333333334,695,DOH,275,LHR,0,NON,EWR,13.833333333333334,Apr 8
Emirates,1735,1,1458,DAC,19.5,600,DXB,0,NON,0,NON,JFK,14.416666666666666,Apr 8
Emirates,1780,1,1458,DAC,1.6666666666666665,380,DXB,0,NON,0,NON,EWR,21.333333333333332,Apr 8
Emirates,2005,1,1458,DAC,19.5,675,DXB,0,NON,0,NON,JFK,18.916666666666668,Apr 8
British,2145,2,1460,DAC,10.833333333333334,730,DOH,170,LHR,0,NON,JFK,12.583333333333334,Apr 8
British,2220,2,1460,DAC,10.833333333333334,730,DOH,240,LHR,0,NON,EWR,13.833333333333334,Apr 8
British,2145,2,1473,DAC,10.833333333333334,695,DOH,210,LGW,0,NON,JFK,12.583333333333334,Apr 8
British,2200,2,1473,DAC,10.833333333333334,695,DOH,250,LGW,0,NON,JFK,13.5,Apr 8
British,2220,2,1473,DAC,10.833333333333334,695,DOH,280,LGW,0,NON,EWR,13.833333333333334,Apr 8
British,2145,2,1477,DAC,10.833333333333334,725,DOH,185,LGW,0,NON,JFK,12.583333333333334,Apr 8
British,2220,2,1477,DAC,10.833333333333334,725,DOH,255,LGW,0,NON,EWR,13.833333333333334,Apr 8
British,2560,2,1477,DAC,10.833333333333334,725,DOH,600,LGW,0,NON,EWR,19.5,Apr 8
Emirates,2560,2,1477,DAC,10.25,160,DXB,1180,MXP,0,NON,JFK,18.916666666666668,Apr 8
Qatar,3030,2,1480,DAC,5.5,1425,DOH,226,ATL,0,NON,LGA,22.0,Apr 8
Multiple,1315,1,1536,DAC,10.833333333333334,130,DOH,0,NON,0,NON,JFK,22.75,Apr 8
American,2749,2,1564,DAC,5.083333333333333,1070,DOH,147,DFW,0,NON,LGA,16.9,Apr 8
American,2787,2,1564,DAC,5.083333333333333,1070,DOH,192,DFW,0,NON,EWR,17.533333333333335,Apr 8
American,2900,2,1564,DAC,5.083333333333333,1070,DOH,302,DFW,0,NON,LGA,19.416666666666668,Apr 8
American,3032,2,1564,DAC,5.083333333333333,1070,DOH,435,DFW,0,NON,EWR,21.616666666666667,Apr 8
American,3115,2,1564,DAC,5.083333333333333,1070,DOH,516,DFW,0,NON,LGA,23.0,Apr 8
British,1490,2,1573,DAC,20.25,130,DOH,120,LHR,0,NON,JFK,11.083333333333334,Apr 8
British,1580,2,1573,DAC,20.25,130,DOH,205,LHR,0,NON,JFK,12.583333333333334,Apr 8
British,1580,2,1573,DAC,20.25,165,DOH,170,LHR,0,NON,JFK,12.583333333333334,Apr 8
British,1635,2,1573,DAC,20.25,130,DOH,245,LHR,0,NON,JFK,13.5,Apr 8
British,1635,2,1573,DAC,20.25,165,DOH,210,LHR,0,NON,JFK,13.5,Apr 8
British,2055,2,1573,DAC,10.833333333333334,190,DOH,625,LHR,0,NON,JFK,11.083333333333334,Apr 8
British,2145,2,1573,DAC,10.833333333333334,190,DOH,710,LHR,0,NON,JFK,12.583333333333334,Apr 8
British,2200,2,1573,DAC,10.833333333333334,190,DOH,750,LHR,0,NON,JFK,13.5,Apr 8
British,2220,2,1573,DAC,10.833333333333334,190,DOH,780,LHR,0,NON,EWR,13.833333333333334,Apr 8
Qatar,1300,1,1586,DAC,10.833333333333334,105,DOH,0,NON,0,NON,JFK,22.5,Apr 8
Qatar,2310,1,1590,DAC,10.833333333333334,1115,DOH,0,NON,0,NON,JFK,15.333333333333334,Apr 8
Emirates,1400,1,1600,DAC,19.5,260,DXB,0,NON,0,NON,JFK,8.833333333333334,Apr 8
Emirates,1955,1,1600,DAC,10.25,825,DXB,0,NON,0,NON,JFK,8.833333333333334,Apr 8
Emirates,2470,1,1600,DAC,1.6666666666666665,1340,DXB,0,NON,0,NON,JFK,8.833333333333334,Apr 8
Emirates,2560,1,1600,DAC,10.25,1240,DXB,0,NON,0,NON,JFK,18.916666666666668,Apr 8
Emirates,2705,1,1600,DAC,10.25,1305,DXB,0,NON,0,NON,EWR,21.333333333333332,Apr 8
American,1660,1,1600,DAC,5.083333333333333,475,DOH,0,NON,0,NON,JFK,22.75,Apr 8
Multiple,1705,2,1603,DAC,1.6666666666666665,235,DXB,235,FRA,0,NON,JFK,20.083333333333332,Apr 8
Qatar,3090,2,1610,DAC,5.5,1425,DOH,414,BOS,0,NON,JFK,23.0,Apr 8
Emirates,2560,2,1619,DAC,10.25,260,DXB,1070,BGY,0,NON,JFK,18.916666666666668,Apr 8
Emirates,3075,2,1619,DAC,1.6666666666666665,775,DXB,1070,BGY,0,NON,JFK,18.916666666666668,Apr 8
Qatar,2955,2,1625,DAC,5.5,1420,DOH,165,ORD,0,NON,EWR,20.75,Apr 8
Qatar,3015,2,1625,DAC,5.5,1420,DOH,210,ORD,0,NON,LGA,21.75,Apr 8
Qatar,2999,2,1640,DAC,5.5,1425,DOH,191,ATL,0,NON,JFK,21.483333333333334,Apr 8
Qatar,3096,2,1640,DAC,5.5,1425,DOH,290,ATL,0,NON,JFK,23.1,Apr 9
Qatar,3686,2,1652,DAC,5.5,1425,DOH,885,ATL,0,NON,JFK,8.933333333333334,Apr 8
British,1584,2,1670,DAC,3.5833333333333335,155,DOH,185,LHR,0,NON,JFK,19.983333333333334,Apr 8
Etihad,1745,1,1677,DAC,20.916666666666668,570,AUH,0,NON,0,NON,JFK,16.0,Apr 8
British,1635,2,1687,DAC,20.25,130,DOH,250,LGW,0,NON,JFK,13.5,Apr 8
British,1635,2,1687,DAC,20.25,160,DOH,225,LGW,0,NON,JFK,13.5,Apr 8
British,1645,2,1689,DAC,3.5833333333333335,155,DOH,235,LHR,0,NON,JFK,21.0,Apr 8
British,1695,2,1689,DAC,3.5833333333333335,155,DOH,295,LHR,0,NON,JFK,21.833333333333332,Apr 8
Finnair,2535,2,1700,DAC,10.833333333333334,1120,DOH,125,HEL,0,NON,JFK,19.083333333333332,Apr 8
American,2285,1,1764,DAC,5.083333333333333,1070,DOH,0,NON,0,NON,JFK,9.166666666666666,Apr 8
British,1464,2,1787,DAC,3.5833333333333335,100,DOH,120,LHR,0,NON,JFK,17.983333333333334,Apr 8
British,1584,2,1787,DAC,3.5833333333333335,100,DOH,240,LHR,0,NON,JFK,19.983333333333334,Apr 8
British,1645,2,1787,DAC,3.5833333333333335,100,DOH,290,LHR,0,NON,JFK,21.0,Apr 8
British,1645,2,1787,DAC,3.5833333333333335,155,DOH,235,LHR,0,NON,JFK,21.0,Apr 8
Air India,1615,2,1799,DAC,14.666666666666666,275,CCU,225,DEL,0,NON,JFK,7.583333333333333,Apr 8
Multiple,1650,2,1805,DAC,1.6666666666666665,310,DXB,120,LHR,0,NON,JFK,19.166666666666668,Apr 8
British,1645,2,1807,DAC,3.5833333333333335,100,DOH,290,LHR,0,NON,JFK,21.0,Apr 8
British,1695,2,1807,DAC,3.5833333333333335,100,DOH,350,LHR,0,NON,JFK,21.833333333333332,Apr 8
Multiple,2530,2,1810,DAC,10.833333333333334,1105,DOH,170,BOS,0,NON,JFK,19.0,Apr 8
Qatar,2695,2,1835,DAC,10.833333333333334,1100,DOH,210,ORD,0,NON,LGA,21.75,Apr 8
Qatar,3059,2,1835,DAC,5.5,1420,DOH,253,ORD,0,NON,JFK,22.483333333333334,Apr 9
Qatar,3925,2,1848,DAC,5.5,1420,DOH,1118,ORD,0,NON,JFK,12.916666666666666,Apr 9
Qatar,4020,2,1848,DAC,5.5,1420,DOH,1220,ORD,0,NON,JFK,14.5,Apr 8
Emirates,2290,1,1891,DAC,10.25,1165,DXB,0,NON,0,NON,JFK,14.416666666666666,Apr 8
Cathay Pacific,1265,1,1894,DAC,2.1666666666666665,60,HKG,0,NON,0,NON,JFK,13.25,Apr 8
American,2755,2,1911,DAC,5.083333333333333,1070,DOH,145,DFW,0,NON,JFK,17.0,Apr 8
American,2905,2,1911,DAC,5.083333333333333,1070,DOH,296,DFW,0,NON,JFK,19.5,Apr 8
American,3035,2,1911,DAC,5.083333333333333,1070,DOH,423,DFW,0,NON,JFK,21.666666666666668,Apr 8
Cathay Pacific,3050,2,1944,DAC,2.1666666666666665,620,HKG,1160,BOS,0,NON,JFK,19.0,Apr 8
Cathay Pacific,3050,2,1944,DAC,2.1666666666666665,620,HKG,1160,BOS,0,NON,JFK,19.0,Apr 8
Multiple,1770,2,1950,DAC,1.6666666666666665,415,DXB,145,LHR,0,NON,JFK,21.166666666666668,Apr 8
Gulf Air Company,2570,2,2041,DAC,5.666666666666667,1040,BAH,260,CDG,0,NON,JFK,14.5,Apr 8
Finnair,1530,2,2070,DAC,3.5833333333333335,115,DOH,125,HEL,0,NON,JFK,19.083333333333332,Apr 8
American,1375,1,2070,DAC,20.25,160,DOH,0,NON,0,NON,JFK,9.166666666666666,Apr 8
American,1965,2,2080,DAC,20.25,540,DOH,190,BOS,0,NON,JFK,19.0,Apr 9
American,2904,2,2088,DAC,20.25,540,DOH,1126,BOS,0,NON,JFK,10.65,Apr 9
American,3044,2,2088,DAC,20.25,540,DOH,1268,BOS,0,NON,JFK,12.983333333333333,Apr 9
American,3181,2,2088,DAC,20.25,540,DOH,1405,BOS,0,NON,JFK,15.266666666666667,Apr 8
Qatar,2674,2,2120,DAC,10.833333333333334,1105,DOH,308,BOS,0,NON,JFK,21.4,Apr 8
Qatar,2994,2,2120,DAC,5.5,1425,DOH,308,BOS,0,NON,JFK,21.4,Apr 9
Air India,3055,2,2199,DAC,14.666666666666666,1150,CCU,835,DEL,0,NON,JFK,7.583333333333333,Apr 9
Air India,3055,2,2199,DAC,14.666666666666666,930,CCU,1025,DEL,0,NON,JFK,7.583333333333333,Apr 9
Singapore,2715,1,2235,DAC,23.916666666666668,1070,SIN,0,NON,0,NON,JFK,11.166666666666666,Apr 8
British,1490,2,2266,DAC,20.25,130,DOH,120,LHR,0,NON,JFK,11.083333333333334,Apr 8
Multiple,1385,2,2393,DAC,10.25,70,DXB,95,LHR,0,NON,JFK,23.333333333333332,Apr 8
Gulf Air Company,2270,2,2404,DAC,5.666666666666667,745,BAH,260,AUH,0,NON,JFK,9.5,Apr 8
Gulf Air Company,2660,2,2404,DAC,5.666666666666667,745,BAH,650,AUH,0,NON,JFK,16.0,Apr 8
Multiple,1280,1,2416,DAC,3.5833333333333335,95,DOH,0,NON,0,NON,JFK,14.916666666666666,Apr 8
Multiple,1300,1,2416,DAC,21.5,85,DOH,0,NON,0,NON,JFK,9.166666666666666,Apr 8
Multiple,1645,1,2416,DAC,21.5,460,DOH,0,NON,0,NON,JFK,14.916666666666666,Apr 8
Multiple,1940,1,2420,DAC,10.833333333333334,725,DOH,0,NON,0,NON,JFK,9.166666666666666,Apr 8
Multiple,2260,1,2420,DAC,5.5,1045,DOH,0,NON,0,NON,JFK,9.166666666666666,Apr 8
Qatar,1305,1,2426,DAC,3.5833333333333335,110,DOH,0,NON,0,NON,JFK,15.333333333333334,Apr 8
Qatar,1670,1,2426,DAC,21.5,475,DOH,0,NON,0,NON,JFK,15.333333333333334,Apr 8
Qatar,1735,1,2426,DAC,3.5833333333333335,540,DOH,0,NON,0,NON,JFK,22.5,Apr 8
Qatar,1940,1,2430,DAC,10.833333333333334,725,DOH,0,NON,0,NON,JFK,9.166666666666666,Apr 8
Qatar,2260,1,2430,DAC,5.5,1045,DOH,0,NON,0,NON,JFK,9.166666666666666,Apr 8
Qatar,2375,1,2430,DAC,3.5833333333333335,1160,DOH,0,NON,0,NON,JFK,9.166666666666666,Apr 8
American,1720,1,2640,DAC,20.25,535,DOH,0,NON,0,NON,JFK,14.916666666666666,Apr 8
American,2070,2,2650,DAC,20.25,535,DOH,195,ORD,0,NON,EWR,20.75,Apr 8
American,2130,2,2650,DAC,20.25,535,DOH,240,ORD,0,NON,LGA,21.75,Apr 8
American,2158,2,2650,DAC,20.25,535,DOH,284,ORD,0,NON,EWR,22.216666666666665,Apr 9
Singapore,2606,2,2652,DAC,23.916666666666668,880,SIN,195,LAX,0,NON,JFK,9.35,Apr 9
Singapore,2912,2,2652,DAC,23.916666666666668,880,SIN,500,LAX,0,NON,JFK,14.45,Apr 9
Singapore,3185,2,2691,DAC,23.916666666666668,880,SIN,764,LAX,0,NON,JFK,19.0,Apr 8
British,1580,2,2745,DAC,20.25,130,DOH,205,LHR,0,NON,JFK,12.583333333333334,Apr 8
British,1580,2,2745,DAC,20.25,165,DOH,170,LHR,0,NON,JFK,12.583333333333334,Apr 8
British,1655,2,2745,DAC,20.25,130,DOH,275,LHR,0,NON,EWR,13.833333333333334,Apr 8
British,1655,2,2745,DAC,20.25,165,DOH,240,LHR,0,NON,EWR,13.833333333333334,Apr 8
British,1580,2,2762,DAC,20.25,130,DOH,210,LGW,0,NON,JFK,12.583333333333334,Apr 8
